date,county,event,location
2021-08-21,Kings,FLASH FLOOD,2 W Crown Heights
2021-08-21,Kings,FLASH FLOOD,2 S Battery Park
2021-08-21,Bronx,FLASH FLOOD,1 WNW Throgs Neck Bridg
2021-08-21,Queens,FLASH FLOOD,2 W Kennedy Airport
2021-08-21,New York,FLASH FLOOD,Harlem
2021-08-21,Kings,FLASH FLOOD,2 SSE Battery Park
2021-08-22,Queens,FLASH FLOOD,Jamaica
2021-08-22,Kings,FLASH FLOOD,Flatbush
2021-09-01,Queens,FLASH FLOOD,1 W Elmhurst
2021-09-01,Queens,FLASH FLOOD,3 SSW Elmhurst
2021-09-01,Queens,FLASH FLOOD,1 NNW Howard Beach
2021-09-01,Queens,FLASH FLOOD,2 W Elmhurst
2021-09-01,Kings,FLASH FLOOD,2 N Bay Ridge
2021-09-01,New York,FLASH FLOOD,1 SSW Washington Height
2021-09-01,Bronx,FLASH FLOOD,1 E Parkchester
2021-09-01,Kings,FLASH FLOOD,3 W Crown Heights
2021-09-01,Queens,FLASH FLOOD,2 WNW Jamaica
2021-09-01,New York,FLASH FLOOD,Greenwich Village
2021-09-01,Queens,FLASH FLOOD,1 E Jamaica
2021-09-01,New York,FLASH FLOOD,Midtown Manhattan
2021-09-01,Queens,FLASH FLOOD,1 E Jamaica
2021-09-01,Queens,FLASH FLOOD,2 E Elmhurst
2021-09-01,Queens,FLASH FLOOD,Elmhurst
2021-09-01,Kings,FLASH FLOOD,1 W Ozone Park
2021-09-01,Queens,FLASH FLOOD,2 NNE Jamaica
2021-09-01,Kings,FLASH FLOOD,Park Slope
2021-09-01,Bronx,FLASH FLOOD,1 SE Riverdale
2021-09-01,New York,FLASH FLOOD,1 N Greenwich Village